pathogen,antibiotic_class,resistant_dalys,resistant_ylls,resistant_ylds,resistant_deaths,total_dalys,log_burden,mortality_prop,resistance_attr_frac
Proteus spp.,Third-generation cephalosporins,22846.350081805784,22543.759070432297,302.5910113734854,1131.4447861669278,104054.15070507847,4.358835836283933,0.986755389360226,0.21956212152035298
Proteus spp.,Trimethoprim-Sulfamethoxazole,8976.033363075945,8844.529853208387,131.50350986755856,443.04872789310417,235280.97580331223,3.95313283923857,0.9853494851736498,0.03815027259398822
Pseudomonas aeruginosa,Aminoglycosides,17324.936293655413,16984.39475185358,340.54154180183406,685.1978287303241,682689.8537049784,4.238696713193265,0.9803438502728264,0.025377462693538563
Pseudomonas aeruginosa,Anti-pseudomonal penicillin/Beta-Lactamase inhibitors,68600.83940942936,68321.57637708387,279.26303234545674,2888.9784187054415,1156828.0671790238,4.836335760526801,0.9959291601276373,0.05930080826679411
Pseudomonas aeruginosa,Carbapenems,291432.245157786,289853.8358099755,1578.4093478104903,11685.306683811928,1649766.819335407,5.46453909226935,0.9945839577670758,0.1766505676694277
Pseudomonas aeruginosa,Fluoroquinolones,159978.67090390486,158045.58543489483,1933.0854690100869,6692.229456019691,1467631.9937555138,5.2040647990610225,0.9879166050193576,0.10900462212910499
Pseudomonas aeruginosa,Fourth-generation cephalosporins,19620.418956866608,19515.839698152024,104.57925871458815,855.9508737161432,1065170.356553054,4.2927304109366045,0.9946698763698933,0.018419982152300292
Pseudomonas aeruginosa,Third-generation cephalosporins,47367.226771506874,47158.134075344875,209.0926961620051,2117.434523633527,1242026.3041797252,4.67548712722819,0.9955857095630563,0.0381370560447105
Salmonella Paratyphi,Fluoroquinolones,81.99083240451819,80.46133652973863,1.5294958747795895,2.0243229640100187,410.5584779834244,1.9190301206167129,0.9813455257139785,0.19970561272303997
Salmonella Paratyphi,Multi-drug resistance in Salmonella Typhi and Paratyphi,0.8923608095520063,0.8859107895195778,0.0064500200324279795,0.01594940519668903,7.6253732457101275,0.2770039453099729,0.9927719595444066,0.1170251974140419
Salmonella Typhi,Fluoroquinolones,18683.2076330137,18631.024349405317,52.18328360837787,342.25440001810085,91618.57626865174,4.271474684850548,0.9972069419430865,0.20392379355720408
Salmonella Typhi,Multi-drug resistance in Salmonella Typhi and Paratyphi,2040.0490916000563,2036.129378840001,3.919712760055464,36.54606996086577,16363.487667740836,3.309853450553705,0.9980786184135495,0.12467079958887416
Serratia spp.,Aminoglycosides,3988.1509635301177,3943.5378966293897,44.61306690072761,128.32261380437396,67780.63401846334,3.600880471854468,0.988813596248313,0.05883909203982501
Serratia spp.,Anti-pseudomonal penicillin/Beta-Lactamase inhibitors,14399.090999181375,14337.108024757988,61.98297442339329,495.75372196795246,76344.5084679333,4.15836523656174,0.9956953550451957,0.1886067680326894
Serratia spp.,Carbapenems,18854.914921293166,18780.22553681566,74.68938447750212,601.1474609177321,69649.31040541064,4.275447609965129,0.9960387312915874,0.2707121551030916
Serratia spp.,Fluoroquinolones,5987.043007490373,5908.484415604825,78.55859188555047,204.76986438420167,55121.43517554956,3.7772849108842204,0.9868785656312697,0.1086155138817206
Serratia spp.,Fourth-generation cephalosporins,8192.81476017752,8157.612199095104,35.20256108241452,245.93569699263512,95894.7901017422,3.9134861415133786,0.9957032397151805,0.08543545224391276
Serratia spp.,Third-generation cephalosporins,12690.915441919682,12640.615803934259,50.29963798542417,410.8107839603614,166810.74588655337,4.103527170012836,0.9960365634602466,0.07607972360815768
Shigella spp.,Fluoroquinolones,4185.025717984866,3438.2485453865406,746.7771725983243,75.52973707045719,22921.29758804891,3.621801892216858,0.8215597172105539,0.1825824084307837
Staphylococcus aureus,Fluoroquinolones,110487.04114394981,109936.9941910143,550.0469529355765,4984.150313875704,2431166.864415544,5.043315273982625,0.995021615682341,0.04544609535491963
Staphylococcus aureus,Macrolide,171013.27176780702,169779.7432930545,1233.5284747525614,7559.342660728787,4264248.962831789,5.233032355370921,0.9927869430132453,0.04010396045315352
Staphylococcus aureus,Methicillin,1062718.802486214,1057733.5191694929,4985.283316721778,46830.357949247446,3992763.5392807815,6.026418773201682,0.9953089346823838,0.2661612169193575
Staphylococcus aureus,Trimethoprim-Sulfamethoxazole,30829.28398473141,30746.186041229936,83.09794350147865,1180.2623161161616,359209.15568075376,4.488977525129809,0.9973045775716805,0.08582544040756794
Staphylococcus aureus,Vancomycin,20307.40865519536,20169.380553413605,138.02810178175764,874.8017826867035,67719.5735949233,4.307675893895001,0.9932030667169124,0.29987502249596903
Streptococcus pneumoniae,Beta Lactam/Beta-lactamase inhibitors,12332.195391352427,12295.033167712558,37.16222363986518,362.2898071934388,600068.6712171133,4.091075611960077,0.9969865686959579,0.02055130684682994
Streptococcus pneumoniae,Carbapenems,244668.18355791146,242301.6996918155,2366.483866095917,8143.933085993936,1095832.3099079202,5.388579272770074,0.9903277825842207,0.22327155473128005
